Cement (kg/m3),Water/Binder Ratio,Fine Aggregate (kg/m3),Coarse Aggregate (kg/m3),Recycled course aggregate percentage (%),SCM (kg/m3),Superplasticizer (kg/m3),Natural  fiber (%),Fiber Type,Length (mm),Age (day),Split Tensile Strength (MPa)
380.0,0.35,950.0,650.0,50,0.0,8.0,0.0,0,0,7,3.17
380.0,0.35,950.0,650.0,50,0.0,8.0,0.0,0,0,28,3.601
375.0,0.51,815.0,995.0,0,0.0,0.0,0.0,0,0,28,2.35
315.0,0.6,885.0,980.0,0,0.0,0.0,0.0,0,0,28,2.5
260.0,0.73,1000.0,925.0,0,0.0,0.0,0.0,0,0,28,2.3
410.0,0.5,835.0,870.0,100,0.0,0.0,0.0,0,0,28,2.5
340.0,0.6,960.0,820.0,100,0.0,0.0,0.0,0,0,28,2.15
350.0,0.5,752.0,1065.0,0,0.0,1.05,0.0,0,0,28,2.8
350.0,0.5,752.0,1065.0,100,0.0,1.05,0.0,0,0,28,2.5
280.0,0.5,752.0,1065.0,100,70.0,0.84,0.0,0,0,28,2.4
280.0,0.5,752.0,1065.0,100,70.0,0.84,0.0,0,0,28,3.0
280.0,0.5,752.0,1065.0,100,70.0,0.84,0.0,0,0,28,2.7
400.0,0.52,662.0,1014.0,0,0.0,0.0,0.0,0,0,7,3.6
400.0,0.52,662.0,1016.0,15,0.0,0.0,0.0,0,0,7,3.3
400.0,0.52,662.0,995.0,30,0.0,0.0,0.0,0,0,7,3.3
400.0,0.52,662.0,956.0,60,0.0,0.0,0.0,0,0,7,3.2
400.0,0.52,662.0,903.0,100,0.0,0.0,0.0,0,0,7,3.5
400.0,0.52,662.0,1014.0,0,0.0,0.0,0.0,0,0,28,3.7
400.0,0.52,662.0,1016.0,15,0.0,0.0,0.0,0,0,28,3.7
400.0,0.52,662.0,995.0,30,0.0,0.0,0.0,0,0,28,3.6
400.0,0.52,662.0,956.0,60,0.0,0.0,0.0,0,0,28,3.4
400.0,0.52,662.0,903.0,100,0.0,0.0,0.0,0,0,28,3.3
400.0,0.52,662.0,1014.0,0,0.0,0.0,0.0,0,0,90,3.9
400.0,0.52,662.0,1016.0,15,0.0,0.0,0.0,0,0,90,3.9
400.0,0.52,662.0,995.0,30,0.0,0.0,0.0,0,0,90,3.9
400.0,0.52,662.0,956.0,60,0.0,0.0,0.0,0,0,90,3.7
400.0,0.52,662.0,903.0,100,0.0,0.0,0.0,0,0,90,3.6
400.0,0.52,662.0,1014.0,0,0.0,0.0,0.0,0,0,180,4.1
400.0,0.52,662.0,1016.0,15,0.0,0.0,0.0,0,0,180,4.1
400.0,0.52,662.0,995.0,30,0.0,0.0,0.0,0,0,180,4.0
400.0,0.52,662.0,956.0,60,0.0,0.0,0.0,0,0,180,3.9
400.0,0.52,662.0,903.0,100,0.0,0.0,0.0,0,0,180,3.9
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,7,3.2
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,28,3.8
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,172,4.1
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,193,4.1
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,255,4.2
380.0,0.44,784.0,1025.0,0,0.0,2.69,0.0,0,0,345,4.3
300.0,0.4,763.0,1366.0,0,0.0,0.0,0.0,0,0,28,3.95162
300.0,0.4,763.0,1315.0,25,0.0,0.0,0.0,0,0,28,3.73846
300.0,0.4,763.0,1253.0,50,0.0,0.0,0.0,0,0,28,3.41606
300.0,0.4,763.0,1150.0,100,0.0,0.0,0.0,0,0,28,3.26152
350.0,0.4,728.0,1304.0,0,0.0,0.0,0.0,0,0,28,4.56445
350.0,0.4,728.0,1258.0,25,0.0,0.0,0.0,0,0,28,4.39659
350.0,0.4,728.0,1202.0,50,0.0,0.0,0.0,0,0,28,4.16744
350.0,0.4,728.0,1090.0,100,0.0,0.0,0.0,0,0,28,3.76777
450.0,0.4,658.0,1179.0,0,0.0,0.0,0.0,0,0,28,5.60627
450.0,0.4,658.0,1134.0,25,0.0,0.0,0.0,0,0,28,5.10268
450.0,0.4,658.0,1089.0,50,0.0,0.0,0.0,0,0,28,5.08669
450.0,0.4,658.0,990.0,100,0.0,0.0,0.0,0,0,28,4.53514
300.0,0.45,748.0,1340.0,0,0.0,0.0,0.0,0,0,28,3.69186
